Textkey,-,string,string,string,string,string,string,string,string,string,string,string,string,_
SACRIFICE_UNEMPLOYED_TOOLTIP,,Sacrifice unemployed citizens,Sacrificar ciudadanos desempleados,NOT_TRANSLATED,Принести в жертву безработных жителей,Opfere arbeitslose Bürger,Sacrifier des citoyens au chômage,祭祀失业市民,無職の市民を生け贄に捧げる,Sacrificar cidadãos desempregados,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
SACRIFICE_UNEMPLOYED_TOOLTIP_CANT,,You have no unemployed citizens in your settlement,No tienes ciudadanos desempleados en tu asentamiento,NOT_TRANSLATED,В вашем поселении нет безработных жителей,Du besitzt keine arbeitslosen Bürger in deiner Siedlung,Vous n’avez pas de citoyens au chômage dans votre colonie,定居点内没有失业市民,あなたの集落には無職の市民がいません,Você não tem cidadãos desempregados no seu assentamento,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
SACRIFICE_CANT,,You have to select the number of creatures to sacrifice first,Primero tienes que seleccionar el número de criaturas a sacrificar,NOT_TRANSLATED,"Сперва выберите, сколько существ принести в жертву",Du musst zuerst die Anzahl der zu opfernden Kreaturen auswählen,Vous devez sélectionner le nombre de créatures à sacrifier en premier,必须先选择要祭祀的生物数量,最初に、生け贄に捧げる生物の数を選ぶ必要があります,Você precisa selecionar o número de criaturas a serem sacrificadas primeiro,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
CELEBRATE_CANT,,You do not have enough resources to hold the festival,No tienes suficientes recursos para celebrar el festival,NOT_TRANSLATED,"Вам не хватает ресурсов, чтобы провести празднество","Du verfügst nicht über genügend Ressourcen, um das Fest zu veranstalten",Vous n’avez pas assez de ressources pour organiser le festival,没有足够的资源来举办节日,フェスティバルを開く十分なリソースがありません,Você não tem recursos suficientes para realizar o festival,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
ORGANIZE_GAMES,,Gladiator combat,Combate de gladiadores,NOT_TRANSLATED,Гладиаторская битва,Gladiatorenkampf,Combat de gladiateurs,角斗士比赛,剣闘士の戦闘,Combate de gladiadores,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
ORGANIZE_THEATRE_FUNCTION,,Theater performance,Función de teatro,NOT_TRANSLATED,Театральное представление,Theateraufführung,Pièce de théâtre,剧场表演,演劇公演,Apresentação teatral,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
SELECT_TWO_GLADIATORS,,Select two gladiators,Selecciona dos gladiadores,NOT_TRANSLATED,Выберите двух гладиаторов,Wähle zwei Gladiatoren,Sélectionner deux gladiateurs,选择两名角斗士,剣闘士を2人選ぶ,Selecione dois gladiadores,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
SELECT_TWO_ACTORS,,Select two actors,Selecciona dos actores,NOT_TRANSLATED,Выберите двух актёров,Wähle zwei Schauspieler,Sélectionner deux acteurs,选择两名演员,俳優を2人選ぶ,Selecione dois atores,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
STATUS,,Status:,Estado:,NOT_TRANSLATED,Состояние:,Status:,État :,状态:,ステータス：,Status:,NOT_TRANSLATED:,สถานะ:,Estat:,
STATS,,Stats,Estadísticas,NOT_TRANSLATED,Стат.,Attribute,Stats,统计,スタッツ,Estatísticas,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
WINS_NUMBER_SINGULAR,,{0} wins,{0} victorias,,{0} победа,{0} Sieg(e),{0} victoires,{0} 胜,{0}勝利,{0} vitórias,,,,
WINS_NUMBER_PLURAL,,{0} wins,{0} victorias,NOT_TRANSLATED,{0} побед(ы),{0} Sieg(e),{0} victoires,{0} 胜,{0}勝利,{0} vitórias,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
PLAYS_NUMBER_SINGULAR,,{0} play,{0} función,,{0} игра,{0} Aufführung,{0} pièce,{0} 场戏,{0}プレイ,{0} partida,,,,
PLAYS_NUMBER_PLURAL,,{0} plays,{0} funciones,NOT_TRANSLATED,{0} игр(ы),{0} Aufführungen,{0} pièces,{0} 场戏,{0}プレイ,{0} partidas,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
STATUS_READY,,<color=green>Ready,<color=green>Listo,NOT_TRANSLATED,<color=green>Готов,<color=green>Bereit,<color=green>Prêt,<color=green>就绪,<color=green>準備完了,<color=green>Pronto,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
TOOLTIP_CELEBRATE_SHOULD_CHOOSE_TWO_GLADIATORS,,First you have to select two gladiators from the list,Primero tienes que seleccionar dos gladiadores de la lista,NOT_TRANSLATED,Сперва выберите двух гладиаторов из списка,Zuerst musst du zwei Gladiatoren aus der Liste auswählen,"D’abord, vous devez sélectionner deux gladiateurs de la liste",必须先从列表中选择两名角斗士,最初にリストから2人の剣闘士を選ぶことが必要です,Primeiro você precisa selecionar dois gladiadores da lista,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
TOOLTIP_CELEBRATE_SHOULD_CHOOSE_TWO_ACTORS,,First you have to select two actors from the list,Primero tienes que seleccionar dos actores de la lista,NOT_TRANSLATED,Сперва выберите двух актёров из списка,Zuerst musst du zwei Schauspieler aus der Liste auswählen,"D’abord, vous devez sélectionner deux acteurs de la liste",必须先从列表中选择两名演员,最初にリストから2人の俳優を選ぶことが必要です,Primeiro você precisa selecionar dois atores da lista,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
NO_ACTOR_YET,,You do not have any actors in your actor group yet,Todavía no tienes ningún actor en tu grupo de actores,NOT_TRANSLATED,В вашей актёрской труппе нет актёров,Du besitzt noch keine Schauspieler in deiner Schauspielergruppe,Vous n’avez pas encore d’acteurs dans votre troupe d’acteurs,演员组中还没有任何演员,あなたの俳優グループにはまだ俳優がいません,Você ainda não tem nenhum ator em seu grupo de atores,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
SEND,,Send to Rome,Enviar a Roma,NOT_TRANSLATED,Отправить в Рим,Nach Rom schicken,Envoyer à Rome,派至罗马,ローマに送る,Enviar para Roma,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
SENATE_QUEST,,Senate,Senado,NOT_TRANSLATED,Сенат,Senat,Sénat,元老院,上院,Senado,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
TRIBUTE,,Tribute,Tributo,NOT_TRANSLATED,Дань,Tribut,Tribut,贡品,貢ぎ物,Tributo,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
TIME_LIMIT,,Time limit,Límite de tiempo,NOT_TRANSLATED,Срок,Zeitlimit,Limite de temps,时间限制,タイムリミット,Limite de tempo,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
REWARD,,Reward,Recompensa,NOT_TRANSLATED,Награда,Belohnung,Récompense,奖励,報酬,Recompensa,NOT_TRANSLATED,รางวัล,Recompensa,
START,,Start,Iniciar,NOT_TRANSLATED,Начать,Start,Démarrer,开始,開始,Iniciar,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
SENATE_QUEST_COMPLETED,,You have successfully completed this mission,Has completado con éxito esta misión,NOT_TRANSLATED,Вы успешно завершили эту миссию,Du hast diese Mission erfolgreich abgeschlossen,Vous avez accompli cette mission avec succès,已成功完成任务,このミッションを無事に完了しました,Você completou com sucesso esta missão,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
RECEIVE_REWARD,,Receive reward,Recibir recompensa,NOT_TRANSLATED,Получить награду,Belohnung erhalten,Recevoir la récompense,领取奖励,報酬を受け取る,Receber recompensa,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
DAY,,Day,Día,NOT_TRANSLATED,д.,Tag,Jour,天,日,Dia,NOT_TRANSLATED,วัน,Dia,
DAYS,,Days,Días,NOT_TRANSLATED,д.,Tage,Jours,天,日,Dias,NOT_TRANSLATED,วัน,Dies,
SENATE_QUEST_FAILED,,Senate quest failed,Misión del Senado fallida,NOT_TRANSLATED,Поручение сената не выполнено,Senat-Quest gescheitert,Échec de la quête du Sénat,元老院任务失败,上院のクエストは失敗しました,Missão do Senado falhou,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
QUEST_FAIL_MSG,,"You have failed to deliver the tribute. But Rome is willing to give you another chance. You are granted {0} additional days but the reward has been reduced by {1}. If you fail this time we will not be so lenient again, and you will have to pay a fine of {2}.","Has fallado en entregar el tributo. Pero Roma está dispuesta a darte otra oportunidad. Se te conceden {0} días adicionales pero la recompensa se ha reducido en {1}. Si esta vez fallas no volveremos a ser tan indulgentes, y tendrás que pagar una multa de {2}.",NOT_TRANSLATED,"Вы не смогли отправить дань вовремя. Но Рим готов дать вам второй шанс. Вам выделили ещё {0} дней, но награда будет снижена на {1}. Если и на этот раз вы не справитесь, то мы уже не будем так благосклонны, вы заплатите штраф — {2}.","Sie haben es versäumt, den Tribut zu leisten. Aber Rom ist bereit, dir eine weitere Chance zu geben. Du bekommst {0} zusätzliche Tage, aber die Belohnung wurde um {1} reduziert. Wenn du dieses Mal scheiterst, werden wir nicht mehr so nachsichtig sein, und du musst eine Geldstrafe von {2} bezahlen.","Vous n'avez pas réussi à payer le tribut. Mais Rome est prête à vous donner une nouvelle chance. Nous vous accordons {0} jours supplémentaires, mais la récompense est réduite de {1}. Si vous échouez cette fois-ci, nous ne serons plus aussi indulgents et vous devrez payer une amende de {2}.",你未能交付贡品。但罗马会再给你一次机会。你将再获得额外{0}天的时间，但奖励减少{1}。如果再次失败，我们将不再宽容，你必须支付{2}的罚款。,あなたは貢ぎ物の配達に失敗しました。ですが、ローマはあなたにもう一度チャンスを与えるつもりです。あなたには{0}日の追加日数が与えられますが、報酬は{1}減らされます。もし今回も失敗した場合、ローマは再び寛大に対応せず、{2}の罰金を支払わなければなりません。,"Você falhou em entregar o tributo. Mas Roma está disposta a lhe dar outra chance. Foram concedidos {0} dias adicionais, mas a recompensa foi reduzida em {1}. Se você falhar desta vez, não seremos tão tolerantes novamente, e você terá que pagar uma multa de {2}.",NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
TRY_AGAIN,,Try again,Intentar de nuevo,NOT_TRANSLATED,Ещё раз,Erneut versuchen,Nouvelle tentative,再试一次,再挑戦する,Tente novamente,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BANKRUPCY,,Bankruptcy,Bancarrota,NOT_TRANSLATED,Банкротство,Bankrott,Faillite,破产,破産,Falência,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
RECEIVE_MONEY,,Receive money <color=green>{0},Recibir dinero <color=green>{0},NOT_TRANSLATED,Получить деньги <color=green>{0},<color=green>{0} Geld erhalten,Recevoir de l’argent <color=green>{0},收到资金<color=green>{0},お金を受け取る<color=green>{0},Receba dinheiro <color=green>{0},NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BANKRUPCY_FIRST_MSG,,"Your finances are not in good shape. Rome believes in you, and that's why we are willing to help you through these difficult times. But we need you to be very careful with the economy from now on. After all, we have put you in charge of the settlement to expand our borders and increase the income from our provinces. Don't forget that.","Tus finanzas atraviesan un momento difícil, pero Roma cree tí. Por eso estamos dispuestos a ayudarte. A partir de ahora, debes ser mucho más cuidadoso con la economía. A fin de cuentas, te hemos puesto al mando del asentamiento para mantener nuestra influencia y aumentar los ingresos provenientes de nuestras provincias, que no se te olvide.",NOT_TRANSLATED,"Ваши финансы не в лучшем состоянии. Рим верит в вас, и потому мы готовы помочь вам справиться с этим непростым периодом. Но мы хотим, чтобы отныне вы тщательнее следили за состоянием экономики. В конце концов, мы поставили вас во главе поселения ради того, чтобы вы расширяли наши границы и повышали доход наших провинций. Не забывайте об этом.","Deine Finanzen sind in keinem guten Zustand. Rom glaubt an dich, und deshalb sind wir bereit, dir in diesen schwierigen Zeiten zu helfen. Aber von nun an musst du die Wirtschaft sehr vorsichtig angehen. Schließlich haben wir dir die Verantwortung für die Ansiedlung übertragen, um unsere Grenzen zu erweitern und die Einnahmen aus unseren Provinzen zu erhöhen. Vergiss das nicht.","Vos finances sont mal en point. Rome croit en vous et c'est pourquoi nous sommes prêts à vous aider à traverser cette période difficile. Mais nous vous demandons d'être très prudent avec l'économie à partir de maintenant. Après tout, nous vous avons confié la responsabilité de la colonie, afin d'étendre nos frontières et d'augmenter les revenus de nos provinces. Ne l'oubliez pas.",您的财务状况不佳。罗马相信您，我们愿意帮助您度过困难时期。但从现在起，您需要小心管理经济。毕竟，我们让您负责这个定居点是为了扩展我们的边界并增加我们的省份收入。不要忘记这一点。,あなたの財政状態は良いとは言えません。ローマはあなたを信じているからこそ、この困難な時期を乗り切るための支援を惜しみません。とはいえ、これからは経済にはくれぐれも注意していただきたい。結局のところ、我々は国境を広げ、地方からの収入を増やすために、あなたに集落を任せたのです。このことをお忘れなく。,"Suas finanças não estão em boa forma. Roma acredita em você, e é por isso que estamos dispostos a ajudá-lo a passar por esses tempos difíceis. Mas precisamos que você seja muito cuidadoso com a economia daqui para frente. Afinal, colocamos você no comando do assentamento para expandir nossas fronteiras e aumentar a receita de nossas províncias. Não se esqueça disso.",NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BANKRUPCY_SECOND_MSG,,"This is the second time you have gone bankrupt. But Rome needs your settlement to keep expanding and fighting the enemy, so we have agreed to grant you another economic rescue. But this is the last one. If you go bankrupt again, we will send our legions to reclaim your city and you will end up in jail for your weak management skills.","Es la segunda vez que entras en bancarrota. Pero Roma necesita que tu asentamiento siga expandiéndose y plantando batalla al enemigo, así que hemos acordado enviarte un nuevo rescate económico. Eso sí, ésta es la ultima vez. Si vuelves a quedarte en números rojos, enviaremos nuestras legiones a ocupar tu ciudad y acabarás arrestado por tu mala capacidad de gestión.",NOT_TRANSLATED,"Это уже второй раз, когда вы остаётесь без единого денария. Но Риму нужно, чтобы ваше поселение продолжало расширяться и сражаться с врагами, поэтому мы решили вновь даровать вам экономическое спасение. Но такое больше не повторится. В следующий раз мы отправим в ваш город легионы, и за свою финансовую некомпетентность вы окажетесь за решёткой.","Dies ist das zweite Mal, dass du Bankrott gegangen bist. Aber Rom braucht deine Siedlung, um weiter zu expandieren und den Feind zu bekämpfen. Deshalb haben wir zugestimmt, dir eine weitere wirtschaftliche Hilfe zu bewilligen. Aber dies ist das letzte Mal. Solltest du noch einmal bankrott gehen, werden wir unsere Legionen schicken, um deine Stadt zurückzuerobern, und du wirst aufgrund deiner schwachen Führungskompetenzen im Gefängnis landen.","C’est la deuxième fois que vous avez fait faillite. Mais Rome a besoin que votre colonie continue de s’étendre, alors nous avons convenu de sauver vos finances à nouveau. Mais c’est la dernière fois. Si vous faites encore faillite, nous enverrons nos centuries pour récupérer votre ville et vous finirez en prison pour vos mauvaises compétences en gestion.",这是您第二次破产。但罗马需要您的定居点继续扩展、对抗敌人，因此我们同意再给您一次经济援助。但这是最后一次。如果您再次破产，我们将派遣军团收回您的城市，您将因管理能力欠佳而被关进监狱。,あなたが破産するのはこれで2度目です。しかし、ローマが拡張を続け、敵と戦い続けるためには、あなたの集落が必要なのです。そのため、私たちはあなたに再び経済的救済を与えることで同意しました。ただし、これが最後です。もしまた破産すれば、私たちは軍百人隊を派遣してあなたの都市を奪還し、あなたは経営手腕の弱さゆえに牢獄行きとなることでしょう。,"Esta é a segunda vez que você entra em falência. Mas Roma precisa que seu assentamento continue se expandindo e lutando contra o inimigo, então concordamos em conceder-lhe outro resgate econômico. Mas este é o último. Se você falir novamente, enviaremos nossas legiões para retomar sua cidade e você acabará na prisão por suas fracas habilidades de gestão.",NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BANKRUPCY_THIRD_MSG,,"Rome warns twice, but sends its legions the third time. And that is what has happened, we have a full consular army at the gates of your city. You have been relieved of the management of this settlement and, from now on, you are imprisoned by order and mandate of the senate and the people of Rome.","Legiones enviadas por el Senado aguardan a las puertas de tu ciudad. Quedas relevado de la gestión de este asentamiento y, desde este momento, estás arrestado por orden del Senado y el Pueblo de Roma.",NOT_TRANSLATED,"Рим предупреждает дважды, но в третий раз отправляет легионы. Именно так и произошло, и теперь у ворот вашего города оказалась целая консульская армия. Вас освободили от должности управляющего этим поселением, и отныне вы отбываете заключение по приказу сената и народа Рима.","Rom warnt zweimal, schickt aber beim dritten Mal seine Legionen. Und genau das ist geschehen, eine ganze Konsulararmee steht vor den Toren deiner Stadt. Du wurdest von der Verwaltung dieser Siedlung entbunden und bist von nun an auf Befehl und im Auftrag des Senats und des Volkes von Rom inhaftiert.","Rome avertit deux fois, puis envoie ses centuries à la troisième erreur. Et c’est ce qui s’est passé, il y a une armée consulaire complète aux portes de votre ville. Vous avez été déchargé de la gestion de cette colonie et, à partir de maintenant, vous êtes emprisonné par ordre et mandat du Sénat et du peuple de Rome.",罗马警告两次，第三次就会派出军团。现在，一支执政官军队已经来到您的城市。您已被解除该定居点的管理职务。从现在起，按罗马元老院和罗马人民的命令，您将被监禁。,ローマは2度警告を与えたものの、3度目の百人隊を派遣しました。その結果、あなたの都市の都門に全領事軍が勢ぞろいすることになったのです。あなたはこの集落の管理から解任され、以後、元老院とローマ市民の命令と委任により投獄されることになります。,"Roma avisa duas vezes, mas envia suas legiões na terceira vez. E foi o que aconteceu, temos um exército consular completo às portas de sua cidade. Você foi destituído da administração deste assentamento e, a partir de agora, está preso por ordem e mandato do senado e do povo de Roma.",NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
END_GAME,,Game over,Fin del juego,NOT_TRANSLATED,Конец игры,Spiel beendet,Partie terminée,游戏结束,ゲームオーバー,Fim de jogo,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BATTLE_LOST_TITLE,,Battle lost,Batalla perdida,NOT_TRANSLATED,Вы проиграли в бою,Schlacht verloren,Bataille perdue,战斗失败,戦闘敗北,Batalha perdida,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BATTLE_LOST_DESC,,You have lost the battle. Below is a count of the units that have been massacred.,Has perdido la batalla. A continuación se presenta un recuento de las unidades que han sido masacradas.,NOT_TRANSLATED,"Этот бой проигран. Ниже приводится список войск, погибших в битве.","Du hast die Schlacht verloren. Im Folgenden findest du eine Auflistung der Einheiten, die massakriert wurden.",Vous avez perdu la bataille. Vous trouverez ci-dessous le décompte des unités qui ont été massacrées.,您在这场战斗中失利。以下是被屠杀单位的统计。,あなたは戦闘に敗れました。以下は虐殺されたユニット数です。,Você perdeu a batalha. Abaixo está a contagem das unidades que foram massacradas.,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BATTLE_WIN_TITLE,,Battle won,Batalla ganada,NOT_TRANSLATED,Вы победили в бою,Schlacht gewonnen,Bataille gagnée,战斗胜利,戦闘勝利,Batalha vencida,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BATTLE_WIN_DESC,,You have won the battle. The following is an account of the brave soldiers who gave their lives to achieve this victory.,Has ganado la batalla. A continuación se presenta un recuento de los valientes soldados que entregaron sus vidas para conseguir esta victoria.,NOT_TRANSLATED,"Вы одержали верх в битве. Ниже перечислены храбрые солдаты, отдавшие жизнь ради этой победы.","Du hast die Schlacht gewonnen. Im Folgenden findest du einen Bericht über die tapferen Soldaten, die ihr Leben für diesen Sieg opferten.",Vous avez gagné la bataille. Voici un compte-rendu des courageux soldats qui ont donné leur vie pour cette victoire.,您在这场战斗中获胜。以下是为胜利而牺牲的勇士名单。,あなたは戦闘に勝利しました。以下は、この勝利達成のために命を捧げた勇敢な兵士たちの記録です。,Você venceu a batalha. A seguir está o relato dos bravos soldados que deram suas vidas para alcançar esta vitória.,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
UNITS_LOSTS,,Battle casualties,Bajas de la batalla,NOT_TRANSLATED,Боевые потери,Gefallene in der Schlacht,Pertes au combat,战斗伤亡,戦闘による犠牲者,Baixas na batalha,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
GAME_PAUSED,,Game paused,Juego en pausa,NOT_TRANSLATED,Игра на паузе,Spiel angehalten,Partie en pause,游戏暂停,ゲーム一時停止,Jogo pausado,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
CONTINUE_PAUSED,,Resume game,Reanudar el juego,NOT_TRANSLATED,Продолжить игру,Spiel fortsetzen,Reprendre la partie,继续游戏,ゲーム再開,Retomar jogo,NOT_TRANSLATED,เล่นเกมต่อ,Continuar el joc,
TUTORIALS,,Tutorials,Tutoriales,NOT_TRANSLATED,Руководства,Tutorials,Tutoriels,教程,チュートリアル,Tutoriais,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
SETTINGS,,Settings,Configuración,NOT_TRANSLATED,Настройки,Einstellungen,Réglages,设置,設定,Configurações,NOT_TRANSLATED,การตั้งค่า,Configuració,
SAVE_GAME,,Save game,Guardar partida,NOT_TRANSLATED,Сохранить игру,Spiel speichern,Sauvegarder la partie,保存进度,ゲームをセーブする,Salvar jogo,NOT_TRANSLATED,บันทึกความคืบหน้า,Guardar partida,
LOAD_GAME,,Load game,Cargar partida,NOT_TRANSLATED,Загрузить игру,Spiel laden,Charger la partie,载入游戏,ゲームをロードする,Carregar jogo,NOT_TRANSLATED,โหลดเกม,Carregar partida,
EXIT_TO_MAIN_MENU,,Exit to main menu,Salir al menú principal,NOT_TRANSLATED,Выйти в главное меню,Zum Hauptmenü zurückkehren,Quitter pour revenir au Menu principal,退出到主菜单,メインメニューに戻る,Sair para o menu principal,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
QUIT_GAME,,Exit to desktop,Salir al escritorio,NOT_TRANSLATED,Выйти на рабочий стол,Zum Desktop zurückkehren,Quitter pour revenir au bureau,退出到桌面,デスクトップに戻る,Sair para a área de trabalho,NOT_TRANSLATED,ออกไปหน้าเดสก์ท็อป,Sortir a l'escriptori,
TUTORIALS_TITLE,,Tutorials Archive,Lista de Tutoriales,NOT_TRANSLATED,Архив руководств,Archiv der Tutorials,Archive de tutoriels,教程一览,チュートリアルアーカイブ,Lista de Tutoriais,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
CREDITS,,Credits,Créditos,NOT_TRANSLATED,О создателях,Mitwirkende,Crédits,致谢名单,クレジット,Créditos,NOT_TRANSLATED,เครดิต,Crèdits,
DIFFICULTY_VERY_EASY,,Very easy,Muy fácil,NOT_TRANSLATED,очень легкая,sehr einfach,Très facile,非常简单,とても簡単,Muito fácil,NOT_TRANSLATED,ง่ายมาก,Molt fàcil,
DIFFICULTY_EASY,,Easy,Fácil,NOT_TRANSLATED,легкая,einfach,facile,简单,簡単,Fácil,NOT_TRANSLATED,ง่าย,Fàcil,
DIFFICULTY_NORMAL,,Normal,Normal,NOT_TRANSLATED,нормальная,normal,normale,正常,普通,Normal,NOT_TRANSLATED,ปานกลาง,Normal,
DIFFICULTY_HARD,,Hard,Difícil,NOT_TRANSLATED,трудная,schwer,difficile,困难,難しい,Difícil,NOT_TRANSLATED,ยาก,Difícil,
DIFFICULTY_VERY_HARD,,Very hard,Muy difícil,NOT_TRANSLATED,очень трудная,sehr schwer,très difficile,非常困难,とても難しい,Muito difícil,NOT_TRANSLATED,ยากมาก,Molt difícil,
CONTINUE,,Continue,Continuar,NOT_TRANSLATED,Продолжить,Weiter,Continuer,继续,続ける,Continuar,NOT_TRANSLATED,ดำเนินการต่อ,Continuar,
NEW_GAME,,New game,Nueva partida,NOT_TRANSLATED,Новая игра,Neues Spiel,Nouveau jeu,新游戏,はじめから,Novo jogo,NOT_TRANSLATED,เล่นใหม่,Nova partida,
NEW_CAMPAING_GAME,,New Campaign,Nueva campaña,NOT_TRANSLATED,Новая кампания,Neue Kampagne,Nouvelle campagne,新战役,新しいキャンペーン,Nova Campanha,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BEGINNER,,Beginner,Principiante,NOT_TRANSLATED,Начинающий,Anfänger,Débutant,新兵入伍,初心者,Iniciante,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
EXPERIENCED,,Experienced,Experimentado,NOT_TRANSLATED,Опытный,Erfahren,Expérimenté,资深老兵,経験者,Experiente,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
ADVANCED,,Advanced,Avanzado,NOT_TRANSLATED,Продвинутый,Fortgeschritten,Avancé,高难挑战,上級者,Avançado,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
PLAY_CAMPAIGN,,Play Campaign,Jugar campaña,NOT_TRANSLATED,Играть в кампанию,Kampagne spielen,Jouer la campagne,开始战役,キャンペーンをプレイする,Jogar Campanha,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
RESTORE_KEYBOARD_BINDINGS,,Reset keys to default,Restaurar a configuración de teclado inicial,NOT_TRANSLATED,Сбросить настройки управления,Tasten auf Standard zurücksetzen,Réinitialiser les touches aux réglages par défaut,将按键重置为默认值,キーをデフォルトに戻す,Restaurar teclas para o padrão,NOT_TRANSLATED,รีเซ็ตปุ่มเป็นค่าดั้งเดิม,Restablir les tecles per defecte,
RESTORE_SETTINGS_TO_DEFAULT,,"Restore default settings",Restablecer la configuración predeterminada,NOT_TRANSLATED,Восстановить настройки по умолчанию,Standardeinstellungen wiederherstellen,Restaurer les réglages par défaut,将设置重置为默认值,デフォルト設定に戻す,Restaurar configurações padrão,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
GAME,,Game,Juego,NOT_TRANSLATED,Игра,Spiel,Jeu,游戏,ゲーム,Jogo,NOT_TRANSLATED,เกม,Joc,
LANGUAGE,,Language,Idioma,NOT_TRANSLATED,Язык,Sprache,Langue,语言,言語,Idioma,NOT_TRANSLATED,ภาษา,Idioma,
AUTOSAVE,,Autosave,Autoguardado,NOT_TRANSLATED,Автосохранение,Automatisch speichern,Sauvegarde automatique,自动保存,オートセーブ,Autosalvamento,NOT_TRANSLATED,บันทึกเกมอัตโนมัติ,Autoguardat,
EVERY_5_MINUTES,,Each 5 minutes,Cada 5 minutos,NOT_TRANSLATED,Каждые 5 мин.,Alle 5 Minuten,Toutes les 5 minutes,每5分钟保存一次,各5分,A cada 5 minutos,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
EVERY_15_MINUTES,,Each 15 minutes,Cada 15 minutos,NOT_TRANSLATED,Каждые 15 мин.,Alle 15 Minuten,Toutes les 15 minutes,每15分钟保存一次,各15分,A cada 15 minutos,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
EVERY_30_MINUTES,,Each 30 minutes,Cada 30 minutos,NOT_TRANSLATED,Каждые 30 мин.,Alle 30 Minuten,Toutes les 30 minutes,每30分钟保存一次,各30分,A cada 30 minutos,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
INTERFACE_SIZE,,Size of the game interface,Tamaño de la interfaz de juego,NOT_TRANSLATED,Размер игрового интерфейса,Größe der Spieloberfläche,Taille de l’interface du jeu,游戏界面的大小,ゲームインターフェイスのサイズ,Tamanho da interface do jogo,NOT_TRANSLATED,ขนาดอินเตอร์เฟซของเกม,Grandària de la interfície de joc,
VERY_SMALL,,Very small,Muy pequeña,NOT_TRANSLATED,Очень маленький,Sehr klein,Très petite,非常小,とても小さい,Muito pequeno,NOT_TRANSLATED,เล็กมาก,Molt petita,
SMALL_SIZE,,Small,Pequeña,NOT_TRANSLATED,Маленький,Klein,Petite,小,小さい,Pequeno,NOT_TRANSLATED,เล็ก,Petita,
